paper,subject,trial_number,trial_looking_time,age_in_days
brandone_2009,brandone_2009.1.1_successfulreaching10.61,8,23.57,309.9
brandone_2009,brandone_2009.1.1_successfulreaching10.61,9,20.05,309.9
brandone_2009,brandone_2009.1.1_successfulreaching10.40,1,10.47,279.1
brandone_2009,brandone_2009.1.1_successfulreaching10.40,2,13.62,279.1
brandone_2009,brandone_2009.1.1_successfulreaching10.40,3,12.97,279.1
brandone_2009,brandone_2009.1.1_successfulreaching10.40,4,13.3,279.1
brandone_2009,brandone_2009.1.1_successfulreaching10.40,5,22.97,279.1
brandone_2009,brandone_2009.1.1_successfulreaching10.40,6,27.47,279.1
brandone_2009,brandone_2009.1.1_successfulreaching10.40,7,16.63,279.1
brandone_2009,brandone_2009.1.1_successfulreaching10.40,8,20.05,279.1
brandone_2009,brandone_2009.1.1_successfulreaching10.40,9,8.4,279.1
brandone_2009,brandone_2009.1.1_successfulreaching10.42,1,14.53,309.3
brandone_2009,brandone_2009.1.1_successfulreaching10.42,2,17.28,309.3
brandone_2009,brandone_2009.1.1_successfulreaching10.42,3,16.38,309.3
brandone_2009,brandone_2009.1.1_successfulreaching10.42,4,9.6,309.3
brandone_2009,brandone_2009.1.1_successfulreaching10.42,5,11.62,309.3
